,name
801,Gula (in Central African Republic)
802,Gumbaynggir
803,Gunu
804,Guaque
805,Gurung
806,Gusii
807,Guugu Yimidhirr
808,Gungbe
809,German (Viennese)
810,Gwari
811,German (Westphalian)
812,Gworok
813,Guayabero
814,Gyarong (Cogtse)
815,German (Zurich)
816,Hadza
817,Haida
818,Hakka
819,Halia
820,Hamtai
821,Hani
822,Haruai
823,Hatam
824,Hausa
825,Havasupai
826,Hawaiian
827,Hayu
828,Hebrew (Modern Ashkenazic)
829,Haitian Creole
830,Hdi
831,Hebrew (Modern)
832,Hehe
833,Heiltsuk
834,Hemba
835,Herero
836,Hanga Hundi
837,Hianacoto
838,Hidatsa
839,Hiligaynon
840,Hindi
841,Hixkaryana
842,Hong Kong Sign Language
843,Halbi
844,Halkomelem (Island)
845,Halang
846,Hualapai
847,Halkomelem (Upriver)
848,Hmar
849,Huambisa
850,Hmong Daw
851,Huitoto (Minica)
852,Hmong Njua
853,Hamer
854,Huitoto (Muinane)
855,Mina
856,Hunde
857,Hinuq
858,Hanunóo
859,Haida (Northern)
860,Ho
861,Hoava
862,Min (Southern)
863,Holoholo
864,Hopi
865,Hup
866,Hre
867,Harari
868,Harsusi
869,Haisla
870,Huastec
871,Hua
872,=|Hoan
873,Huichol
874,Huitoto (Murui)
875,Hungarian
876,Hupa
877,Huave (San Mateo del Mar)
878,Hawaiian Creole
879,Hawrami
880,Haya
881,Hyow
882,Hunzib
883,Iaai
884,Iatmul
885,Iau
886,Iban
887,Ibibio
888,Ibanag
889,Icelandic
890,Icelandic Sign Language
891,Iduna
892,Idoma
893,Idu
894,Italian (Fiorentino)
895,Ifumu
896,Ifugao (Batad)
897,Inga
898,Igbo
899,Igede
900,Ignaciano
901,Ingessana
902,Iha
903,Indonesian (Papuan)
904,Ijo (Kolokuma)
905,Ik
906,Ika
907,Ila
908,Illinois
909,Ilocano
910,Imonda
911,Inanwatan
912,Indonesian
913,Ingush
914,Indonesian (Jakarta)
915,Innamincka
916,Inuktitut (Rankin Inlet)
917,Inuktitut (Salluit)
918,Iñupiaq
919,Indo-Pakistani Sign Language (Indian dialects)
920,Indo-Pakistani Sign Language (Karachi dialect)
921,Inuktitut (Quebec-Labrador)
922,Iquito
923,Irish (Donegal)
924,Irish
925,Irish (Munster)
926,Iraqw
927,Irarutu
928,Irish Sign Language
929,Iranxe
930,I'saka
931,Isekiri
932,Ishkashmi
933,Isirawa
934,International Sign
935,Isnag
936,Isoko
937,Israeli Sign Language
938,Italian
939,Italian (Bologna)
940,Itelmen
941,Italian (Genoa)
942,Italian (Napolitanian)
943,Itonama
944,Italian (Turinese)
945,Itawis
946,Itzaj
947,Ivatan
948,Iwaidja
949,Iwam
950,Ixcatec
951,Ixil
952,Izhor
953,Izi
954,Jabêm
955,Jad
956,Jahai
957,Jakaltek
958,Jaminjung
959,Jaqaru
960,Jarawa (in Nigeria)
961,Javanese
962,Jabutí
963,Jamaican Creole
964,Jebero
965,Jeh
966,Jeli
967,Jemez
968,Jiarong
969,Jibbali
970,Jino
971,Jivaro
972,Luwo
973,Jamamadi
974,Jur Mödö
975,Jamsay
976,Jingpho
977,Jomang
978,Japanese
979,Japreria
980,Juruna
981,Jarawa (in Andamans)
982,Jugli
983,Ju|'hoan
984,Jukun
985,Júma
986,Juang
987,Jurchen
988,Karajá
989,Jarawara
990,Karó (Arára)
991,Kabardian
992,Kachari
993,Kadugli
994,Kaki Ae
995,Komering
996,Kaian
997,Kaure
998,Kamano-Kafe
999,Kalami
1000,Kambera
1001,Kana
1002,Karao
1003,Kela (Apoze)
1004,Kaurna
1005,Kara (in Central African Republic)
1006,Kashmiri
1007,Kâte
1008,Kaulong
1009,Kaiwá
1010,Kayardild
1011,Kazakh
1012,Kamba
1013,Kabui
1014,Kabyle
1015,Kambot
1016,Kayan (Baram)
1017,Kabatei
1018,Kanembu
1019,Karen (Bwe)
1020,Kabiyé
1021,Koyra Chiini
1022,Konda
1023,Karipuna (Panoan)
1024,Kadiwéu
1025,Kadazan
1026,Kanjobal (Eastern)
1027,Kedang
1028,Kefa
1029,Kei
1030,K'ekchí
1031,Kele
1032,Kemant
1033,Kenga
1034,Keo
1035,Kera
1036,Ket
1037,Kewa
1038,Koromfe
1039,Kirghiz (Fu-Yu)
1040,Kinga
1041,Konyagi
1042,Umbu Ungu
1043,Kagoma
1044,Kagulu
1045,Kangiryuarmiut
1046,Kalkatungu
1047,Kyirong
1048,Kirghiz
1049,Khalkha
1050,Kham (Dege)
1051,Khaling
1052,Khinalug
1053,Khakas
1054,Khalaj
1055,Khmer
1056,Khün
1057,Nama
1058,Kharia
1059,Khasi
1060,Khumi
1061,Khwarshi
1062,Khowar
1063,Kickapoo
1064,Kire
1065,Kitja
1066,Kikuyu
1067,Kiluba
1068,Kimaghama
1069,Kinyarwanda
1070,Kiowa
1071,Kalmyk (Issyk-Kul)
1072,Kirma
1073,Kisi
1074,Kitsai
1075,Kui (in Indonesia)
1076,Kiwai (Southern)
1077,Koreguaje
1078,Kurmanji
1079,Kunjen
1080,Konjo
1081,Koorete
1082,Konkomba
1083,Kata Kolok
1084,Konkani
1085,Koranko
1086,Karakalpak
1087,Kuikúro
1088,Kirikiri
1089,Kokota
1090,Korku
1091,Lusi
1092,Karankawa
1093,Kankanay
1094,Kokni
1095,Klao
1096,Kilba
1097,Kulung
1098,Kalasha
1099,Kaili
1100,Koh (Lakka)
1101,Kaluli
1102,Klamath
1103,Kolana
1104,Kalapuya
1105,Kalam
1106,Koluri
1107,Kalispel
1108,Kelabit
1109,Kilivila
1110,Kiliwa
1111,Kala Lagaw Ya
1112,Kalanga
1113,Kamaiurá
1114,Kombai
1115,Kham
1116,Kami
1117,Karimojong
1118,Kalmyk
1119,Kuman
1120,Koiali (Mountain)
1121,Kunimaipa
1122,Kamoro
1123,Kamass
1124,Kemtuik
1125,Khmu'
1126,Kamu
1127,Kamasau
1128,Karitiâna
1129,Kanum (Bädi)
1130,Kugu Nganhcara
1131,Kannada
1132,Kaingang
1133,Konni
1134,Kanakuru
1135,Kunama
1136,Kinnauri
1137,Kanoê
1138,Kanum (Ngkâlmpw)
1139,Kriol (Ngukurr)
1140,Kanuri
1141,Konua
1142,Konkow
1143,Kham (Tibetan) (Nangchen)
1144,Koasati
1145,Kobon
1146,Kodava
1147,Koegu
1148,Kohumono
1149,Koiari
1150,Kokborok
1151,Kolami
1152,Komo
1153,Kongo
1154,Kola
1155,Komi-Permyak
1156,Korean
1157,Kosraean
1158,Kota
1159,Kom
1160,Ko (Winye)
1161,Koya
1162,Kpan
